event_id,event_date,event_title,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude
2737,11/20/2010 12:00:00 AM,"El Aguacate(?), Marquetalia municipality, Caldas","El Aguacate(?), Marquetalia municipality, Caldas",25km,landslide,downpour,medium,unknown,1,,,,glc,2737,Colombia,CO,Caldas,6224,Marquetalia,3.72195,-75.0495,5.3298
8041,12/20/2015 11:24:00 AM,"OR 34, milepost 12.8","OR 34, milepost 12.8",exact,landslide,unknown,unknown,above_road,0,0,,,glc,8041,United States,US,Oregon,2033,Waldport,16.92965,-123.8595,44.3999
9268,01/29/2016 12:00:00 AM,"Broadsea, Fraserburgh","Broadsea, Fraserburgh",1km,landslide,downpour,small,natural_slope,0,0,,,glc,9268,United Kingdom,GB,Scotland,12249,Fraserburgh,1.42651,-2.042,57.6897
2414,09/11/2010 04:00:00 PM,"Mandana(Madana) village(?), Panchkula-Morni rd, 20 km from Panchkula, Haryana","Mandana(Madana) village(?), Panchkula-Morni rd, 20 km from Panchkula, Haryana",5km,landslide,downpour,medium,unknown,0,,,,glc,2414,India,IN,Haryana,32162,Pinjaur,11.92746,76.9844,30.7059
540,05/18/2008 12:00:00 AM,"Kalahandi district of Orissa, Depur village","Kalahandi district of Orissa, Depur village",unknown,landslide,mining,medium,unknown,5,,,,glc,540,India,IN,Orissa,64468,Bhawānipatna,43.1759,83.1809,19.5178
7561,03/13/2016 12:00:00 AM,"Quincy : Caltrans, district 2 says a rockslide has closed Highway 70 in Plumas County, 6.5 miles east of Rich Bar. Find an alternate route, as it is *",,25km,landslide,unknown,medium,above_road,0,0,,,glc,7561,United States,US,California,1728,Quincy,22.2065,-121.1872,40.0118
1100,08/18/2009 06:00:00 PM,Sorchen along Phuentsholing-Thimphu highway ,Sorchen along Phuentsholing-Thimphu highway ,1km,landslide,downpour,medium,unknown,0,,,,glc,1100,Bhutan,BT,Chhukha,17043,Phuntsholing,7.61154,89.4497,26.8928
3089,02/05/2011 12:00:00 AM,"Transcentral hwy, Balamban municipality, Cebu","Transcentral hwy, Balamban municipality, Cebu",10km,landslide,downpour,medium,unknown,0,,,,glc,3089,Philippines,PH,Central Visayas,22283,Balamban,8.31542,123.7756,10.4578
9380,04/04/2016 12:00:00 AM,Hanjishat village in Handwara area of Kupwara district,Hanjishat village in Handwara area of Kupwara district,5km,landslide,continuous_rain,small,above_river,0,0,,,glc,9380,India,IN,Kashmir,63035,Sopur,21.72594,74.2798,34.4002
3799,07/18/2011 11:00:00 PM,"Highway 145, just west of Telluride, CO","Highway 145, just west of Telluride, CO",10km,landslide,rain,small,unknown,0,,,,glc,3799,United States,US,Colorado,1320,Mountain Village,1.82803,-107.8548,37.9478
